DATE,MONTH,CITY,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,sunshine,temp_mean,temp_max,temp_min,PRECIPITATION Y/N
20000106.0,1.0,DE_BILT,6.0,5.2,11.0,0.91,1.0152,0.2,1.0,7.2,9.1,4.2,True
20000106.0,1.0,DUSSELDORF,6.0,5.5,12.3,0.83,1.0174,0.34,2.8,7.6,10.4,4.3,True
20000106.0,1.0,MAASTRICHT,6.0,5.3,12.0,0.86,1.0178,0.33,2.7,7.3,10.3,3.3,True
20000106.0,1.0,MUENCHEN,3.0,0.9,3.5,0.99,1.0256,0.49,2.8,-1.0,4.3,-3.4,False
20000106.0,1.0,OSLO,8.0,7.0,17.0,0.9,0.995,0.05,0.0,5.3,6.5,-0.1,True
20000107.0,1.0,DE_BILT,7.0,4.8,12.0,0.92,1.0199,0.12,0.0,6.1,7.4,4.3,False
20000107.0,1.0,DUSSELDORF,6.0,4.5,9.4,0.79,1.0219,0.32,2.5,6.6,8.7,4.7,False
20000107.0,1.0,MAASTRICHT,6.0,6.0,14.0,0.86,1.0223,0.32,3.3,6.6,7.8,4.6,False
20000107.0,1.0,MUENCHEN,5.0,1.4,6.1,0.82,1.027,0.48,2.5,3.4,7.6,-2.4,False
20000107.0,1.0,OSLO,8.0,5.3,15.9,0.76,1.0018,0.05,0.0,3.8,6.0,0.4,False
20000108.0,1.0,DE_BILT,6.0,4.3,12.0,0.94,1.0173,0.19,0.8,5.4,8.1,0.8,True
20000108.0,1.0,DUSSELDORF,8.0,4.7,9.5,0.85,1.0192,0.12,0.0,6.6,7.9,5.4,True
20000108.0,1.0,MAASTRICHT,7.0,4.8,11.0,0.91,1.0196,0.19,0.9,5.9,7.3,4.6,True
20000108.0,1.0,MUENCHEN,2.0,1.8,5.6,0.78,1.0253,0.58,4.2,2.7,8.6,0.4,False
20000108.0,1.0,OSLO,4.0,6.0,17.5,0.78,0.994,0.18,4.7,5.5,6.4,4.3,False
20000109.0,1.0,DE_BILT,1.0,1.5,7.0,0.94,1.0257,0.46,5.7,0.8,7.0,-2.6,False
20000109.0,1.0,DUSSELDORF,6.0,1.2,5.2,0.94,1.0251,0.12,0.0,2.5,6.8,0.5,False
20000109.0,1.0,MAASTRICHT,6.0,1.8,4.0,0.95,1.0261,0.36,3.4,4.0,6.1,-0.4,False
20000109.0,1.0,MUENCHEN,8.0,1.0,3.4,0.91,1.0255,0.21,0.0,1.8,2.5,-1.0,True
20000109.0,1.0,OSLO,1.0,2.9,10.8,0.9,1.0094,0.13,5.6,1.6,5.0,-0.2,False
20000110.0,1.0,DE_BILT,3.0,1.8,5.0,0.97,1.0357,0.47,5.8,-0.8,4.3,-4.0,False
20000110.0,1.0,DUSSELDORF,8.0,1.3,4.3,0.96,1.0359,0.13,0.0,1.1,2.4,0.4,False
20000110.0,1.0,MAASTRICHT,7.0,1.7,4.0,1.0,1.0366,0.21,0.0,-0.3,2.1,-3.1,False
20000110.0,1.0,MUENCHEN,8.0,1.8,5.5,0.95,1.034,0.21,0.0,-0.6,2.1,-1.6,False
20000110.0,1.0,OSLO,5.0,1.5,6.2,0.89,1.0218,0.11,2.2,-0.6,2.5,-3.6,False
20000111.0,1.0,DE_BILT,6.0,4.0,8.0,0.87,1.0352,0.33,2.9,2.1,4.4,-1.2,False
20000111.0,1.0,DUSSELDORF,3.0,4.4,9.3,0.86,1.0376,0.49,5.4,0.7,2.9,-0.5,False
20000111.0,1.0,MAASTRICHT,3.0,3.5,8.0,0.92,1.0375,0.61,6.7,-0.2,3.5,-3.4,False
20000111.0,1.0,MUENCHEN,8.0,2.3,6.0,0.91,1.0392,0.21,0.0,-0.6,0.0,-1.3,False
20000111.0,1.0,OSLO,3.0,0.8,9.8,0.94,1.0191,0.09,2.8,1.6,4.8,0.4,False
20000112.0,1.0,DE_BILT,5.0,5.4,12.0,0.85,1.0276,0.53,6.7,0.7,2.6,-0.6,False
20000112.0,1.0,DUSSELDORF,4.0,5.5,10.7,0.79,1.0304,0.52,6.0,2.1,4.6,-0.9,False
20000112.0,1.0,MAASTRICHT,5.0,5.1,10.0,0.86,1.0299,0.52,7.2,0.4,3.8,-2.2,False
20000112.0,1.0,MUENCHEN,8.0,2.0,5.8,0.88,1.0346,0.21,0.0,-2.4,-0.2,-3.0,False
20000112.0,1.0,OSLO,8.0,0.7,9.8,0.96,1.011,0.03,0.0,3.0,4.7,-0.2,False
20000113.0,1.0,DE_BILT,7.0,4.2,10.0,0.83,1.0173,0.23,1.3,2.0,3.6,-0.9,False
20000113.0,1.0,DUSSELDORF,6.0,4.3,9.1,0.73,1.0195,0.13,0.0,1.3,3.5,-0.7,True
20000113.0,1.0,MAASTRICHT,8.0,4.4,10.0,0.78,1.0188,0.21,2.1,1.9,3.3,0.7,False
20000113.0,1.0,MUENCHEN,3.0,1.7,5.4,0.81,1.0259,0.67,5.2,-2.9,0.3,-4.7,False
20000113.0,1.0,OSLO,6.0,1.2,5.7,0.79,1.0146,0.03,0.0,1.5,2.8,1.0,False
20000114.0,1.0,DE_BILT,8.0,2.0,5.0,0.98,1.0215,0.13,0.0,2.9,4.0,1.5,False
20000114.0,1.0,DUSSELDORF,8.0,2.2,5.4,0.85,1.0214,0.13,0.0,3.3,4.8,-1.0,False
20000114.0,1.0,MAASTRICHT,8.0,2.7,6.0,0.93,1.0219,0.14,0.0,2.8,3.4,1.5,False
20000114.0,1.0,MUENCHEN,0.0,1.5,3.8,0.83,1.0261,0.8,7.8,-4.1,0.8,-7.8,False
20000114.0,1.0,OSLO,5.0,2.7,9.3,0.65,1.0278,0.08,3.1,-0.5,1.7,-2.6,False
20000115.0,1.0,DE_BILT,7.0,2.7,7.0,0.9,1.0351,0.36,3.3,3.2,5.4,2.0,False
20000115.0,1.0,DUSSELDORF,7.0,2.5,10.1,0.77,1.0334,0.21,0.6,2.5,4.2,1.1,False
20000115.0,1.0,MAASTRICHT,8.0,3.3,9.0,0.88,1.0341,0.1,0.7,2.4,5.1,0.4,False
20000115.0,1.0,MUENCHEN,8.0,1.2,3.5,0.94,1.0333,0.22,0.0,-5.8,-4.6,-7.8,False
20000115.0,1.0,OSLO,4.0,1.4,3.6,0.84,1.0278,0.15,4.0,-3.7,-1.5,-6.4,True
20000116.0,1.0,DE_BILT,8.0,2.6,9.0,0.95,1.0358,0.13,0.0,5.4,6.9,2.7,True
20000116.0,1.0,DUSSELDORF,8.0,2.6,8.4,0.93,1.0353,0.14,0.0,4.2,5.7,0.7,True
20000116.0,1.0,MAASTRICHT,8.0,2.5,7.0,0.96,1.0363,0.11,0.0,2.5,5.0,-0.8,True
20000116.0,1.0,MUENCHEN,6.0,1.5,5.6,0.83,1.0358,0.22,0.0,-2.9,-1.6,-5.5,False
20000116.0,1.0,OSLO,5.0,1.3,5.1,0.96,1.0158,0.02,0.0,-1.8,0.2,-3.2,False
20000117.0,1.0,DE_BILT,7.0,4.7,13.0,0.93,1.0305,0.19,0.5,6.4,7.5,4.8,True
20000117.0,1.0,DUSSELDORF,8.0,5.0,10.3,0.9,1.0294,0.14,0.0,6.2,7.0,5.1,True
20000117.0,1.0,MAASTRICHT,8.0,4.5,10.0,0.96,1.0314,0.12,0.3,5.5,7.1,4.3,True
20000117.0,1.0,MUENCHEN,8.0,6.7,16.6,0.86,1.0278,0.23,0.0,1.8,3.1,-3.0,True
20000117.0,1.0,OSLO,1.0,7.0,18.5,0.41,1.0051,0.21,6.3,7.7,10.2,-1.0,False
20000118.0,1.0,DE_BILT,7.0,6.2,16.0,0.84,1.0269,0.27,1.6,6.6,8.6,4.1,True
20000118.0,1.0,DUSSELDORF,6.0,7.0,16.2,0.78,1.0245,0.18,0.2,5.9,8.1,4.9,True
20000118.0,1.0,MAASTRICHT,8.0,5.8,15.0,0.9,1.0269,0.13,0.2,5.7,7.7,3.8,True
20000118.0,1.0,MUENCHEN,8.0,7.2,20.2,0.96,1.0196,0.23,0.0,1.7,3.7,0.0,True
20000118.0,1.0,OSLO,0.0,10.6,23.2,0.37,1.0132,0.19,6.2,3.4,4.7,-1.1,False
20000119.0,1.0,DE_BILT,7.0,2.9,9.0,0.87,1.0321,0.14,0.0,3.9,5.6,1.3,True
20000119.0,1.0,DUSSELDORF,7.0,4.3,8.8,0.79,1.0302,0.14,0.0,4.1,5.1,3.7,True
20000119.0,1.0,MAASTRICHT,7.0,3.5,7.0,0.86,1.0319,0.16,0.0,3.6,4.8,2.7,False
20000119.0,1.0,MUENCHEN,3.0,3.7,9.6,0.81,1.0291,0.72,5.4,-1.4,1.8,-2.2,False
20000119.0,1.0,OSLO,4.0,2.3,16.5,0.64,1.0208,0.07,2.4,-0.3,3.0,-3.0,False
20000120.0,1.0,DE_BILT,7.0,3.8,11.0,0.87,1.0293,0.14,0.0,5.2,6.1,3.6,True
20000120.0,1.0,DUSSELDORF,7.0,4.6,12.1,0.87,1.0298,0.17,0.1,4.0,5.0,1.6,True
20000120.0,1.0,MAASTRICHT,8.0,3.9,10.0,0.93,1.0309,0.13,0.0,3.3,4.4,2.4,True
20000120.0,1.0,MUENCHEN,8.0,4.5,13.9,0.76,1.0314,0.3,0.2,-0.6,0.5,-2.9,False
20000120.0,1.0,OSLO,3.0,2.2,8.2,0.71,1.0075,0.07,2.6,1.3,5.7,-3.0,True
20000121.0,1.0,DE_BILT,6.0,3.7,12.0,0.87,1.0257,0.3,1.9,5.2,7.8,2.3,True
20000121.0,1.0,DUSSELDORF,7.0,5.6,13.7,0.79,1.0248,0.23,0.6,4.6,7.2,3.5,True
20000121.0,1.0,MAASTRICHT,8.0,4.1,12.0,0.94,1.0264,0.13,0.2,4.4,6.3,3.4,True
20000121.0,1.0,MUENCHEN,8.0,7.8,19.6,0.88,1.0241,0.24,0.0,0.1,0.6,-0.5,True
20000121.0,1.0,OSLO,4.0,2.1,10.8,0.62,1.0189,0.19,5.8,-4.1,0.5,-5.6,True
20000122.0,1.0,DE_BILT,6.0,4.0,14.0,0.9,1.0115,0.29,1.7,4.7,6.1,3.0,True
20000122.0,1.0,DUSSELDORF,7.0,5.3,12.5,0.86,1.0118,0.19,0.2,4.1,5.4,2.6,True
20000122.0,1.0,MAASTRICHT,7.0,5.2,16.0,0.95,1.0128,0.15,0.0,3.2,5.1,1.9,True
20000122.0,1.0,MUENCHEN,8.0,3.8,10.4,0.97,1.0152,0.24,0.0,0.3,0.9,-0.8,True
20000122.0,1.0,OSLO,8.0,2.2,7.2,0.92,1.0121,0.07,0.0,-5.3,-3.9,-5.8,True
20000123.0,1.0,DE_BILT,6.0,3.3,11.0,0.85,1.0188,0.24,0.9,1.1,4.4,-4.0,False
20000123.0,1.0,DUSSELDORF,6.0,4.0,9.7,0.83,1.0167,0.15,0.0,-0.8,4.0,-3.4,True
20000123.0,1.0,MAASTRICHT,7.0,4.4,11.0,0.9,1.0175,0.08,0.0,1.0,3.4,-4.4,True
20000123.0,1.0,MUENCHEN,7.0,3.0,8.1,0.92,1.0134,0.29,0.1,-2.8,0.5,-5.5,True
20000123.0,1.0,OSLO,4.0,2.0,8.7,0.82,1.0211,0.21,2.6,-7.9,-5.2,-10.6,False
20000124.0,1.0,DE_BILT,3.0,1.7,6.0,0.76,1.0254,0.66,7.7,-2.8,0.9,-7.7,False
20000124.0,1.0,DUSSELDORF,3.0,2.0,6.2,0.66,1.0254,0.71,8.1,-2.6,1.0,-7.3,False
20000124.0,1.0,MAASTRICHT,2.0,1.5,4.0,0.79,1.0253,0.72,7.8,-3.4,0.2,-6.2,False
20000124.0,1.0,MUENCHEN,1.0,1.8,4.9,0.8,1.0257,0.91,8.1,-10.2,-5.5,-12.4,False
20000124.0,1.0,OSLO,8.0,1.2,4.1,0.93,1.0189,0.14,0.7,-7.4,-5.2,-12.6,False
20000125.0,1.0,DE_BILT,5.0,3.1,9.0,0.83,1.0283,0.4,3.1,0.5,2.8,-1.4,False
20000125.0,1.0,DUSSELDORF,5.0,2.6,5.2,0.66,1.0292,0.6,5.7,-1.1,2.1,-3.9,False
20000125.0,1.0,MAASTRICHT,2.0,2.4,4.0,0.75,1.0297,0.69,7.3,-2.1,2.4,-5.9,False
20000125.0,1.0,MUENCHEN,1.0,1.1,4.8,0.82,1.0328,0.93,8.4,-12.2,-5.9,-16.4,False
20000125.0,1.0,OSLO,6.0,0.3,3.1,0.93,1.0181,0.19,1.9,-4.2,-1.2,-7.0,False
20000126.0,1.0,DE_BILT,7.0,3.3,7.0,0.89,1.0313,0.5,4.5,2.4,5.5,-1.1,False
20000126.0,1.0,DUSSELDORF,7.0,3.5,6.4,0.72,1.0323,0.16,0.0,1.4,2.8,-2.5,False
20000126.0,1.0,MAASTRICHT,7.0,4.1,8.0,0.76,1.0332,0.5,2.7,0.2,2.4,-3.9,False
20000126.0,1.0,MUENCHEN,0.0,1.2,3.7,0.78,1.0368,0.97,8.8,-9.2,-3.3,-15.6,False
20000126.0,1.0,OSLO,6.0,0.8,3.6,0.93,1.0126,0.08,0.0,-3.8,-0.5,-6.1,False
20000127.0,1.0,DE_BILT,7.0,5.4,11.0,0.86,1.027,0.16,0.0,2.4,3.8,0.5,False
20000127.0,1.0,DUSSELDORF,3.0,4.8,9.4,0.69,1.029,0.61,5.6,0.2,4.5,-2.7,False
20000127.0,1.0,MAASTRICHT,2.0,4.7,8.0,0.7,1.0297,0.68,7.7,0.5,3.2,-2.7,False
20000127.0,1.0,MUENCHEN,0.0,2.2,6.9,0.71,1.0338,0.99,9.0,-4.3,2.2,-10.4,False
20000127.0,1.0,OSLO,8.0,1.3,8.7,0.78,1.0015,0.17,1.2,-0.9,3.4,-4.2,False
20000128.0,1.0,DE_BILT,7.0,7.1,18.0,0.86,1.0135,0.16,0.0,3.2,5.9,-0.4,True
20000128.0,1.0,DUSSELDORF,6.0,6.8,14.2,0.69,1.0175,0.19,0.1,2.5,4.2,-3.0,True
20000128.0,1.0,MAASTRICHT,7.0,7.6,18.0,0.74,1.0176,0.15,0.0,1.5,5.1,-2.6,True
20000128.0,1.0,MUENCHEN,4.0,3.9,11.4,0.69,1.025,0.84,6.0,2.2,5.2,-9.2,False
20000128.0,1.0,OSLO,6.0,0.8,12.3,0.79,0.9948,0.09,0.0,-2.6,2.5,-4.1,True
20000129.0,1.0,DE_BILT,8.0,9.4,21.0,0.87,0.9961,0.16,0.0,9.0,11.3,5.5,True
20000129.0,1.0,DUSSELDORF,8.0,10.6,19.6,0.89,0.9998,0.17,0.0,8.3,10.3,4.0,True
20000129.0,1.0,MAASTRICHT,8.0,11.8,21.0,0.93,1.0012,0.05,0.0,7.7,9.9,4.3,True
20000129.0,1.0,MUENCHEN,7.0,9.0,23.4,0.68,1.0126,0.27,0.0,6.0,7.2,3.1,True
20000129.0,1.0,OSLO,7.0,5.3,14.9,0.9,0.959,0.18,1.2,3.1,5.3,-4.0,True
20000130.0,1.0,DE_BILT,7.0,6.3,18.0,0.82,1.0098,0.18,0.1,9.1,10.3,7.2,True
20000130.0,1.0,DUSSELDORF,7.0,6.9,21.4,0.81,1.0108,0.17,0.0,9.4,10.6,6.5,True
20000130.0,1.0,MAASTRICHT,8.0,7.7,22.0,0.92,1.0129,0.1,0.0,9.0,10.3,7.0,True
20000130.0,1.0,MUENCHEN,8.0,8.6,25.4,0.9,1.0153,0.27,0.0,7.4,8.2,6.6,True
20000130.0,1.0,OSLO,3.0,5.2,22.1,0.4,0.9861,0.29,5.5,0.3,4.2,-2.6,False
20000131.0,1.0,DE_BILT,8.0,7.3,20.0,0.87,1.0184,0.17,0.0,9.7,10.8,8.7,True
20000131.0,1.0,DUSSELDORF,8.0,8.4,20.8,0.81,1.0199,0.17,0.0,9.9,11.0,9.1,True
20000131.0,1.0,MAASTRICHT,8.0,9.3,20.0,0.85,1.0218,0.13,0.0,9.5,10.6,8.4,True
20000131.0,1.0,MUENCHEN,6.0,7.1,21.4,0.72,1.026,0.62,2.5,7.6,10.5,6.4,False
20000131.0,1.0,OSLO,4.0,3.6,9.3,0.66,0.9979,0.29,6.9,-3.1,-0.6,-5.2,False
20000201.0,2.0,DE_BILT,8.0,6.9,15.0,0.82,1.0163,0.26,0.7,9.0,10.2,7.6,True
20000201.0,2.0,DUSSELDORF,7.0,6.3,12.3,0.75,1.0189,0.18,0.0,8.8,10.0,7.3,True
20000201.0,2.0,MAASTRICHT,7.0,7.1,13.0,0.81,1.019,0.28,0.2,8.5,9.4,7.3,True
20000201.0,2.0,MUENCHEN,2.0,2.2,8.4,0.63,1.024,1.06,9.1,8.6,14.5,1.2,False
20000201.0,2.0,OSLO,6.0,2.2,5.1,0.85,1.0024,0.12,1.9,-5.2,-2.6,-7.8,True
20000202.0,2.0,DE_BILT,4.0,4.7,12.0,0.87,1.0171,0.54,4.4,7.4,9.0,6.0,True
20000202.0,2.0,DUSSELDORF,5.0,5.1,10.7,0.84,1.0172,0.41,2.0,6.4,9.1,4.5,True
20000202.0,2.0,MAASTRICHT,5.0,5.4,11.0,0.88,1.019,0.22,1.9,6.2,8.3,3.8,True
20000202.0,2.0,MUENCHEN,7.0,3.6,11.1,0.7,1.0193,0.64,2.6,7.8,11.9,6.4,True
20000202.0,2.0,OSLO,5.0,1.0,5.1,0.94,0.9904,0.03,2.5,-2.9,2.0,-6.4,False
20000203.0,2.0,DE_BILT,5.0,3.8,11.0,0.85,1.0308,0.43,2.7,6.4,9.1,3.4,False
20000203.0,2.0,DUSSELDORF,6.0,4.4,9.4,0.81,1.0311,0.26,0.4,6.2,7.8,4.2,False
20000203.0,2.0,MAASTRICHT,5.0,4.8,9.0,0.87,1.0328,0.49,3.2,5.2,7.4,3.0,False
20000203.0,2.0,MUENCHEN,6.0,4.3,11.6,0.78,1.0332,0.29,0.0,3.6,6.4,1.4,False
20000203.0,2.0,OSLO,3.0,1.0,8.7,0.7,1.0161,0.19,5.8,-3.1,2.7,-6.8,False
20000204.0,2.0,DE_BILT,8.0,6.4,14.0,0.91,1.0308,0.18,0.0,7.6,9.2,5.6,True
20000204.0,2.0,DUSSELDORF,8.0,6.3,12.4,0.82,1.0332,0.19,0.0,7.2,8.8,4.9,True
20000204.0,2.0,MAASTRICHT,8.0,8.0,14.0,0.89,1.0339,0.3,0.4,6.6,8.2,5.0,True
20000204.0,2.0,MUENCHEN,4.0,2.3,7.4,0.68,1.0383,1.07,8.6,3.8,7.3,0.6,True
20000204.0,2.0,OSLO,7.0,1.9,12.3,0.89,1.0023,0.23,3.2,3.1,5.5,-3.8,False
20000205.0,2.0,DE_BILT,5.0,4.9,11.0,0.75,1.0272,0.77,7.5,8.4,11.8,6.1,False
20000205.0,2.0,DUSSELDORF,1.0,4.7,8.8,0.62,1.0296,0.78,7.1,9.2,13.3,5.3,False
20000205.0,2.0,MAASTRICHT,3.0,6.0,12.0,0.64,1.0294,0.72,7.4,8.4,13.6,4.5,False
20000205.0,2.0,MUENCHEN,6.0,3.2,11.2,0.85,1.0346,0.41,0.4,7.2,10.5,3.3,True
20000205.0,2.0,OSLO,7.0,1.0,4.6,0.94,1.0086,0.08,0.0,1.6,2.9,-0.6,False
20000206.0,2.0,DE_BILT,8.0,4.6,11.0,0.88,1.0183,0.19,0.0,7.6,8.9,5.4,True
20000206.0,2.0,DUSSELDORF,7.0,5.2,10.6,0.67,1.0209,0.46,2.3,9.2,11.0,6.3,True
20000206.0,2.0,MAASTRICHT,7.0,6.1,13.0,0.76,1.0207,0.39,1.7,8.3,9.2,6.4,True
20000206.0,2.0,MUENCHEN,6.0,1.7,6.6,0.69,1.0268,0.96,6.4,8.2,14.5,1.2,False
20000206.0,2.0,OSLO,5.0,1.9,8.7,0.8,1.0022,0.4,4.9,4.9,8.9,1.5,True
20000207.0,2.0,DE_BILT,7.0,6.8,17.0,0.87,1.0106,0.52,3.5,7.9,9.4,6.3,True
20000207.0,2.0,DUSSELDORF,8.0,7.9,16.0,0.78,1.0138,0.41,1.7,8.1,10.3,6.8,True
20000207.0,2.0,MAASTRICHT,7.0,8.9,17.0,0.85,1.014,0.45,2.2,7.9,9.2,6.2,True
20000207.0,2.0,MUENCHEN,7.0,4.4,16.1,0.68,1.0222,0.3,0.0,7.3,9.6,5.9,True
20000207.0,2.0,OSLO,7.0,5.8,14.4,0.74,0.9859,0.24,2.4,5.6,7.6,3.1,True
20000208.0,2.0,DE_BILT,5.0,7.3,16.0,0.79,1.0035,0.27,0.5,8.6,11.9,6.3,True
20000208.0,2.0,DUSSELDORF,7.0,8.1,22.4,0.78,1.0057,0.2,0.0,9.6,12.2,7.6,True
20000208.0,2.0,MAASTRICHT,8.0,9.3,20.0,0.82,1.0071,0.16,0.7,9.2,12.1,3.9,True
20000208.0,2.0,MUENCHEN,8.0,8.1,21.3,0.76,1.014,0.54,1.1,9.9,11.8,6.1,True
20000208.0,2.0,OSLO,3.0,1.9,9.8,0.82,0.9863,0.47,6.8,0.8,6.0,-1.1,False
20000209.0,2.0,DE_BILT,6.0,6.3,17.0,0.73,1.0183,0.35,1.3,6.5,8.5,4.9,False
20000209.0,2.0,DUSSELDORF,4.0,7.1,18.2,0.72,1.0186,0.2,0.0,5.4,9.5,2.1,True
20000209.0,2.0,MAASTRICHT,6.0,6.8,19.0,0.76,1.0213,0.2,1.1,5.5,7.4,3.4,True
20000209.0,2.0,MUENCHEN,6.0,6.8,18.9,0.78,1.0223,0.82,3.9,3.4,10.4,1.8,True
20000209.0,2.0,OSLO,4.0,1.5,8.7,0.67,0.996,0.27,2.7,0.7,3.8,-1.4,False
20000210.0,2.0,DE_BILT,5.0,5.8,16.0,0.82,1.0163,0.38,1.5,5.8,8.2,3.5,True
20000210.0,2.0,DUSSELDORF,7.0,6.6,14.9,0.72,1.0191,0.54,2.9,6.0,9.8,2.1,True
20000210.0,2.0,MAASTRICHT,7.0,7.4,19.0,0.82,1.0194,0.5,3.9,5.9,9.1,2.8,True
20000210.0,2.0,MUENCHEN,4.0,3.4,12.0,0.64,1.0269,1.18,9.0,4.6,10.1,2.1,True
20000210.0,2.0,OSLO,7.0,5.6,15.4,0.86,0.9918,0.13,0.0,3.8,5.7,-3.6,True
20000211.0,2.0,DE_BILT,1.0,3.9,10.0,0.83,1.0267,0.86,7.7,4.6,8.9,0.5,False
20000211.0,2.0,DUSSELDORF,1.0,3.5,7.8,0.77,1.0276,0.94,8.5,3.0,8.0,-1.4,False
20000211.0,2.0,MAASTRICHT,0.0,3.8,8.0,0.84,1.0289,0.95,8.5,2.9,7.5,-0.6,False
20000211.0,2.0,MUENCHEN,8.0,2.7,11.1,0.86,1.0281,0.32,0.0,2.9,6.0,1.4,True
20000211.0,2.0,OSLO,4.0,4.1,15.9,0.6,1.0024,0.55,7.7,4.8,8.5,1.4,False
20000212.0,2.0,DE_BILT,4.0,5.8,16.0,0.86,1.0183,0.53,3.1,4.5,6.9,2.1,True
20000212.0,2.0,DUSSELDORF,4.0,6.5,18.0,0.77,1.0218,0.69,4.6,3.6,8.9,-0.3,True
20000212.0,2.0,MAASTRICHT,5.0,7.3,18.0,0.84,1.0219,0.66,4.4,4.1,7.5,0.2,True
20000212.0,2.0,MUENCHEN,5.0,2.7,11.4,0.9,1.0279,0.33,0.0,1.5,2.9,0.5,False
20000212.0,2.0,OSLO,8.0,5.7,17.0,0.93,0.9978,0.14,0.0,3.9,5.6,2.1,True
20000213.0,2.0,DE_BILT,4.0,4.3,15.0,0.82,1.0175,0.77,6.1,5.2,8.3,1.5,False
20000213.0,2.0,DUSSELDORF,4.0,5.4,11.7,0.74,1.0176,0.73,4.9,4.9,9.2,2.8,False
20000213.0,2.0,MAASTRICHT,5.0,5.0,13.0,0.8,1.0193,0.56,3.7,5.4,8.6,1.6,True
20000213.0,2.0,MUENCHEN,8.0,6.2,17.4,0.84,1.0226,0.52,0.7,3.8,6.7,1.5,True
20000213.0,2.0,OSLO,4.0,3.9,8.7,0.77,0.9941,0.1,4.6,0.8,4.0,-0.9,False
20000214.0,2.0,DE_BILT,5.0,3.7,10.0,0.88,1.0195,0.66,4.5,4.5,8.0,-0.8,True
20000214.0,2.0,DUSSELDORF,4.0,4.0,9.7,0.79,1.0215,0.82,6.0,4.8,8.4,-1.4,True
20000214.0,2.0,MAASTRICHT,4.0,4.9,12.0,0.85,1.0214,0.95,7.3,4.2,8.0,-1.8,True
20000214.0,2.0,MUENCHEN,4.0,2.8,10.2,0.79,1.0253,1.06,6.3,3.4,5.9,0.1,True
20000214.0,2.0,OSLO,3.0,2.2,9.3,0.6,1.0085,0.63,7.6,-0.8,3.5,-4.2,True
20000215.0,2.0,DE_BILT,7.0,3.5,10.0,0.86,1.0118,0.51,2.6,6.6,9.1,4.3,True
